,list_rf
0,item
1,reputation
2,well
3,number
4,currently
5,know
6,described
7,materially
8,follow
9,past
10,performance
11,consider
12,investor
13,trend
14,anticipate
15,period
16,discussion
17,section
18,part
19,ii
20,analysis
21,statement
22,note
23,form
24,world
25,government
26,take
27,measure
28,response
29,restriction
30,travel
31,closure
32,order
33,pandemic
34,significantly
35,activity
36,volatility
37,disruption
38,country
39,course
40,component
41,supplier
42,manufacturing
43,provider
44,supply
45,shortage
46,worldwide
47,occur
48,store
49,channel
50,partner
51,close
52,case
53,protect
54,public
55,health
56,safety
57,substantially
58,work
59,monitor
60,appropriate
61,accordance
62,relevant
63,authority
64,extent
65,remains
66,depend
67,timing
68,duration
69,availability
70,distribution
71,effectiveness
72,vaccine
73,treatment
74,imposition
75,economy
76,demand
77,consumer
78,chain
79,execute
80,plan
81,profitability
82,heighten
83,represent
84,majority
85,net
86,facility
87,site
88,locate
89,inflation
90,growth
91,tariff
92,trade
93,policy
94,unemployment
95,currency
96,fluctuation
97,confidence
98,spending
99,estate
100,mortgage
101,decline
102,income
103,value
104,fuel
105,energy
106,labor
107,healthcare
108,uncertainty
109,contract
110,manufacturer
111,distributor
112,network
113,carrier
114,instability
115,inability
116,obtain
117,finance
118,purchase
119,downturn
120,environment
121,lead
122,counterparties
123,institution
124,limitation
125,issue
126,debt
127,liquidity
128,fair
129,instrument
130,dispute
131,war
132,terrorism
133,disaster
134,interruption
135,harm
136,disrupt
137,believe
138,generally
139,benefit
140,sanction
141,restrict
142,example
143,china
144,series
145,impose
146,import
147,raw
148,go
149,margin
150,less
151,adopt
152,export
153,good
154,limit
155,offer
156,design
157,restructuring
158,relationship
159,cease
160,application
161,platform
162,announce
163,advance
164,notice
165,effectively
166,mitigate
167,location
168,earthquake
169,fire
170,power
171,plant
172,terrorist
173,attack
174,act
175,cybersecurity
176,climate
177,type
178,frequently
179,intense
180,manufacture
181,deliver
182,create
183,delay
184,outage
185,offering
186,recovery
187,experience
188,expenditure
189,lose
190,source
191,consequence
192,maintain
193,stringent
194,region
195,production
196,insurance
197,coverage
198,insufficient
199,cover
200,highly
201,compete
202,competition
203,pressure
204,introduction
205,life
206,cycle
207,evolve
208,standard
209,improvement
210,adoption
211,competitor
212,successfully
213,depends
214,ensure
215,timely
216,marketplace
217,solution
218,software
219,there
220,assurance
221,achieve
222,expect
223,return
224,develop
225,hold
226,patent
227,trademark
228,register
229,apply
230,seek
231,primarily
232,pricing
233,structure
234,infringe
235,protection
236,sell
237,advantage
238,computer
239,face
240,marketing
241,resource
242,establish
243,digital
244,content
245,line
246,base
247,device
248,particularly
249,profit
250,even
251,feature
252,integrate
253,model
254,user
255,mean
256,improve
257,remain
258,manage
259,transition
260,nature
261,introduce
262,enhance
263,exist
264,success
265,acceptance
266,associate
267,commitment
268,inventory
269,level
270,quantity
271,meet
272,quality
273,defect
274,deficiency
275,perform
276,concentration
277,often
278,transportation
279,arrangement
280,diminish
281,flexibility
282,respond
283,contain
284,provision
285,expense
286,reimbursement
287,warranty
288,code
289,conduct
290,violation
291,europe
292,variety
293,reason
294,invest
295,process
296,equipment
297,held
298,problem
299,terminate
300,negatively
301,sufficient
302,commercially
303,multiple
304,commodity
305,enter
306,extend
307,renew
308,suffer
309,consolidation
310,therefore
311,utilize
312,us
313,capacity
314,constraint
315,yield
316,decide
317,delayed
318,complete
319,identify
320,alternative
321,intend
322,damage
323,injury
324,error
325,expectation
326,detect
327,fix
328,expose
329,recall
330,replacement
331,modification
332,litigation
333,fine
334,cancellation
335,record
336,become
337,exceed
338,fee
339,reserve
340,excess
341,review
342,impairment
343,circumstance
344,amount
345,carry
346,incur
347,charge
348,give
349,obligation
350,forecast
351,typically
352,day
353,produce
354,fully
355,firm
356,access
357,own
358,license
359,issuance
360,others
361,practice
362,however
363,otherwise
364,support
365,decision
366,developed
367,choose
368,perception
369,relative
370,upgrade
371,compare
372,game
373,position
374,generate
375,devote
376,focus
377,effort
378,keep
379,fail
380,operate
381,commission
382,initiative
383,propose
384,union
385,eu
386,enact
387,investigation
388,relate
389,volume
390,decrease
391,scope
392,eliminate
393,subscription
394,incorporate
395,licensing
396,relatively
397,guarantee
398,renewal
399,distribute
400,owner
401,skilled
402,key
403,personnel
404,chief
405,executive
406,officer
407,team
408,especially
409,retain
410,retailer
411,directly
412,enterprise
413,online
414,financing
415,payment
416,program
417,staff
418,contractor
419,assure
420,regard
421,telecommunication
422,virus
423,incident
424,inadequate
425,vendor
426,planning
427,thing
428,prevent
429,transaction
430,impede
431,release
432,confidential
433,reputational
434,respect
435,step
436,secure
437,behalf
438,attempt
439,gain
440,basis
441,compromise
442,confidentiality
443,impair
444,attract
445,penalty
446,judgment
447,accelerate
448,frequency
449,technique
450,avoid
451,recover
452,target
453,implement
454,disclose
455,name
456,turn
457,account
458,address
459,aspect
460,strategy
461,acquisition
462,ongoing
463,present
464,involve
465,challenge
466,approval
467,realize
468,venture
469,lease
470,space
471,serve
472,brand
473,size
474,termination
475,construction
476,compliance
477,proceeding
478,resolve
479,matter
480,arise
481,indemnification
482,allege
483,assert
484,royalty
485,infringement
486,defend
487,court
488,jurisdiction
489,recognition
490,consideration
491,possibility
492,concern
493,outcome
494,reporting
495,far
496,relief
497,privacy
498,advertising
499,ownership
500,internet
501,mobile
502,communication
503,medium
504,employment
505,exchange
506,waste
507,procedure
508,agent
509,violate
510,found
511,instance
512,scrutiny
513,aggregate
514,comply
515,connection
516,rule
517,collection
518,retention
519,transfer
520,subsidiary
521,area
522,pending
523,emerge
524,disclosure
525,website
526,governmental
527,entity
528,audit
529,breach
530,adequately
531,handle
532,manner
533,permit
534,card
535,potentially
536,quarterly
537,vary
538,segment
539,acquire
540,shift
541,mix
542,modify
543,historically
544,first
545,quarter
546,year
